Open,High,Low,Close,Adj Close,Volume
41052.359375,41401.6484375,41005.1796875,41352.171875,41352.171875,19000
41442.75,41614.76953125,41358.46875,41558.5703125,41558.5703125,24300
41571.8203125,41719.2890625,41456.3984375,41673.921875,41673.921875,33300
41746.19921875,41809.9609375,41636.109375,41681.5390625,41681.5390625,33600
41548.26171875,41701.62109375,41474.609375,41642.66015625,41642.66015625,6200
41684.51171875,41702.98046875,41423.0703125,41461.26171875,41461.26171875,4400
41543.80078125,41543.80078125,41132.890625,41163.76171875,41163.76171875,5600
41297.078125,41611.26953125,41264.921875,41575.140625,41575.140625,6100
41686.26953125,41714.73046875,41453.37890625,41558.0,41558.0,5700
41607.48828125,41607.48828125,41184.73046875,41253.73828125,41253.73828125,5600
41340.26953125,41649.2890625,41328.44921875,41626.640625,41626.640625,5300
41634.51171875,41636.1796875,41348.6796875,41464.609375,41464.609375,8900
41378.33984375,41378.33984375,40613.9609375,40676.62890625,40676.62890625,8700
40983.0390625,41230.140625,40727.37109375,40869.46875,40869.46875,11900
40574.828125,40866.359375,40476.55078125,40817.73828125,40817.73828125,18200
41216.671875,41482.12109375,41175.71875,41452.3515625,41452.3515625,7800
41568.19921875,41775.109375,41447.80078125,41599.71875,41599.71875,13200
41788.2109375,41899.62890625,41720.76171875,41859.69140625,41859.69140625,10600
41883.08984375,41994.26171875,41770.8984375,41952.62890625,41952.62890625,14100
41969.859375,41969.859375,41648.109375,41872.73046875,41872.73046875,6100
41924.73828125,42059.44921875,41812.28125,41932.55859375,41932.55859375,6600
41929.01953125,42063.9296875,41850.2890625,41945.37109375,41945.37109375,9500
42263.0,42273.87109375,41503.37109375,41528.91015625,41528.91015625,7500
41487.5703125,41532.58984375,41294.30078125,41323.80859375,41323.80859375,8900
41467.12890625,41532.2890625,41059.0390625,41115.37890625,41115.37890625,7700
41191.5,41413.9609375,41098.91015625,41386.3984375,41386.3984375,9900
41377.0390625,41697.03125,41275.6015625,41613.19140625,41613.19140625,6600
41510.6796875,41516.26953125,41122.48046875,41155.12109375,41155.12109375,7000
41299.6796875,41333.25,40869.75,40966.859375,40966.859375,9800
41131.5703125,41334.859375,41108.19140625,41198.66015625,41198.66015625,7800
41380.140625,41380.140625,40829.91015625,40913.8203125,40913.8203125,6700
41146.55859375,41154.48828125,40671.01171875,40723.48828125,40723.48828125,11500
39701.01953125,40014.8984375,39563.0703125,39872.30859375,39872.30859375,10600
40178.73828125,40818.94140625,40117.4609375,40789.37890625,40789.37890625,15300
40921.7109375,41177.0,40703.3203125,41142.66015625,41142.66015625,13900
41209.12890625,41405.4296875,41113.109375,41306.03125,41306.03125,15000
41394.41015625,41394.41015625,41073.359375,41141.8515625,41141.8515625,15300
41166.71875,41172.05859375,40798.98046875,40979.62109375,40979.62109375,15200
41183.390625,41444.33984375,41179.140625,41216.140625,41216.140625,7700
41330.8515625,41671.859375,41330.8515625,41565.8984375,41565.8984375,9600
41707.2109375,41709.30078125,41338.30859375,41459.7890625,41459.7890625,9100
41510.19140625,41702.359375,41183.12890625,41257.73828125,41257.73828125,9800
41324.0390625,41420.33984375,41030.578125,41055.69140625,41055.69140625,6900
41042.4609375,41042.4609375,40610.94921875,40894.37890625,40894.37890625,12300
41121.51171875,41357.16015625,41048.9296875,41323.0,41323.0,5600
41334.9609375,41399.9296875,41134.30859375,41170.12109375,41170.12109375,8400
41037.01171875,41037.01171875,40306.359375,40363.23046875,40363.23046875,8100
40497.71875,40536.0,40220.58984375,40281.19921875,40281.19921875,7300
40194.890625,40255.390625,39760.390625,39888.9609375,39888.9609375,9000
39947.80078125,39947.80078125,39423.26953125,39745.66015625,39745.66015625,9600
39087.46875,39087.46875,38219.96875,38297.2890625,38297.2890625,12700
38910.94921875,39083.171875,37785.98828125,38144.01953125,38144.01953125,13400
38480.890625,38754.23828125,38142.30078125,38623.69921875,38623.69921875,10600
38715.71875,38791.69921875,37846.1015625,38409.48046875,38409.48046875,15300
38604.25,38887.80078125,38386.6796875,38470.609375,38470.609375,13500
37613.9609375,37747.0703125,37011.08984375,37576.62109375,37576.62109375,19000
36950.19921875,36950.19921875,35109.1796875,35634.94921875,35634.94921875,18800
35468.8984375,36021.51171875,35261.921875,35697.3984375,35697.3984375,27900
34472.5,34472.5,32493.099609375,32778.140625,32778.140625,25200
31214.130859375,34769.48046875,29388.970703125,34103.48046875,34103.48046875,32600
33103.23828125,33103.23828125,31276.30078125,31390.0703125,31390.0703125,18100
31611.5703125,32047.98046875,30394.939453125,30579.08984375,30579.08984375,21500
30968.83984375,31101.76953125,28613.05078125,28869.509765625,28869.509765625,31300
27773.359375,29370.529296875,26714.4609375,28288.23046875,28288.23046875,33200
28460.8203125,30418.19921875,27932.669921875,29915.9609375,29915.9609375,32100
27608.80078125,27900.830078125,25880.830078125,25981.240234375,25981.240234375,21800
27056.23046875,27462.869140625,25638.900390625,26674.029296875,26674.029296875,24700
26499.810546875,28790.189453125,26359.91015625,28535.779296875,28535.779296875,141500
29073.7109375,30099.91015625,28566.33984375,29946.76953125,29946.76953125,35000
30747.810546875,31126.029296875,29346.990234375,29815.58984375,29815.58984375,116900
29226.55078125,29497.5703125,28290.990234375,28440.3203125,28440.3203125,23200
29294.939453125,29770.880859375,28667.359375,29468.490234375,29468.490234375,26400
29505.330078125,29505.98046875,28073.4296875,28265.310546875,28265.310546875,18000
28623.529296875,28639.119140625,27500.7890625,27590.94921875,27590.94921875,18900
28898.359375,30157.650390625,28602.310546875,30067.2109375,30067.2109375,21900
